"ID","Sex","DOC","County","CountyEthnicDensity","ChildRaceOrEthnicity","ChildLatinoHeritage","MaternalGrandmotherPlaceOfBirth","MaternalGrandfatherPlaceOfBirth","ParternalGrandmotherPlaceOfBirth","ParternalGrandfatherPlaceOfBirth","MotherEducationLevel","FatherEducationLevel","MotherEdu","FatherEdu","ParentMeanEdu","SESFormIncome"
"EF1088C1","F","9/16/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,125000
"EF1088C2","F","9/16/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,125000
"EF1089C1","M","8/7/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,175000
"EF1094C1","F","10/15/17","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","3","N/A",17,16,16.5,70000
"EF1094C2","F","10/15/17","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","3","N/A",17,16,16.5,70000
"EF1095C1","M","11/11/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,220000
"EF1096C1","F","11/4/17","Burnet",0.22,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","3","N/A",16,16,16,85000
"EF1097C1","M","10/21/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","4",18,18,18,150000
"EF1097C2","M","10/21/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","4",18,18,18,150000
"EF1097C3","M","10/21/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","4",18,18,18,150000
"EF1098C1","F","10/22/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","5",20,20,20,285000
"EF1099C1","F","10/29/17","Travis",0.08,"Black, not of Hispanic Origin","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,136000
"EF1100C2","F","11/12/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",NA,NA,NA,NA
"EF1102C1","M","10/20/17","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,20,20,1e+05
"EF1103C1","F","11/18/17","Travis",0.02,"Mixed","Y","N/A","N/A","N/A","N/A","4","N/A",18,15,16.5,123000
"EF1104C2","F","1/14/18","Travis",0.33,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","5","N/A",20,21,20.5,92000
"EF1105C1","M","11/1/17","Travis",0.08,"Black, not of Hispanic Origin","N","N/A","N/A","N/A","N/A","2","N/A",13,13,13,22222
"EF1107C1","F","12/2/17","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,16,17,150000
"EF1108C1","M","12/9/17","Williamson",0.24,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","4","N/A",18,20,19,250000
"EF1108C2","M","12/9/17","Williamson",0.24,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","4","N/A",18,20,19,250000
"EF1108C3","F","2/24/19","Williamson",0.02,"Mixed","Y","N/A","N/A","N/A","N/A","4","N/A",18,20,19,250000
"EF1109C1","F","12/9/17","Caldwell",0.53,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","4","N/A",17,18,17.5,40000
"EF1110C1","M","12/10/17","Travis",0.33,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","2","N/A",13,16,14.5,50000
"EF1110C2","M","12/10/17","Travis",0.33,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","2","N/A",13,16,14.5,50000
"EF1110C3","M","12/10/17","Travis",0.33,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","2","N/A",13,16,14.5,50000
"EF1111C1","F","2/4/18","Travis",0.33,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","5","N/A",21,NA,21,40000
"EF1113C1","F","2/24/18","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,370000
"EF1115C1","F","4/28/18","Travis",0.33,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA,NA
"EF1117C1","F","2/10/18","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,22,20,130000
"EF1118C1","F","3/3/18","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,21,20.5,160000
"EF1121C1","F","3/31/18","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,19,19.5,140000
"EF1124C1","F","5/26/18","Travis",0.33,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","N/A","4",18,18,18,1e+05
"EF1126C1","F","6/10/18","Travis",0.02,"Mixed","Y","N/A","N/A","N/A","N/A","3","N/A",16,15,15.5,66000
"EF1127C1","F","6/23/18","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","4",20,18,19,75000
"EF1128C1","F","6/10/18","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","","N/A",16,18,17,1500000
"EF1129C1","M","6/21/18","Williamson",0.58,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","","N/A",17,18,17.5,1e+05
"EF1130C1","F","9/29/18","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","","N/A",20,18,19,50000
"EF1131C1","F","12/8/18","Travis",0.33,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","N/A","N/A",NA,NA,NA,NA
"EF1132C2","F","2/16/19","Williamson",0.24,"Hispanic or Latino (Multiracial Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","4","N/A",18,19,18.5,102000
"EF1133C1","M","3/31/19","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,98000
"EF1133C2","M","3/31/19","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","4","N/A",18,18,18,98000
"EF1134C1","M","4/13/19","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",20,18,19,165000
"EF1137C1","F","7/6/19","Travis",0.33,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","3","N/A",15,13,14,22000
"EF1137C2","F","7/6/19","Travis",0.33,"Hispanic or Latino (NOTmulti-racially Hispanic or Latino)","Y","N/A","N/A","N/A","N/A","3","N/A",15,13,14,22000
"EF1138C1","M","6/20/19","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","N/A","4",18,18,18,1e+05
"EF1139C1","M","11/2/19","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",21,18,19.5,250000
"EF1139C2","M","11/2/19","Travis",0.48,"White (Not of Hispanic Origin)","N","N/A","N/A","N/A","N/A","5","N/A",21,18,19.5,250000
